Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,113467303,1453.5330187008553,2653924,33.99716095413541,384956,2520550,32.28862018767152,63370,0.8117791201494688,8230,
United States of America,Americas,28174978,8512.01,472904,142.87,72812,506760,153.1,14866,4.49,2106,Community transmission
India,South-East Asia,11096731,804.11,105080,7.61,16752,157051,11.38,749,0.05,113,Clusters of cases
Brazil,Americas,10455630,4918.92,373954,175.93,65169,252835,118.95,8070,3.8,1337,Community transmission
Russian Federation,Europe,4246079,2909.58,81353,55.75,11359,86122,59.01,2829,1.94,379,Clusters of cases
The United Kingdom,Europe,4170523,6143.42,64844,95.52,7434,122705,180.75,2340,3.45,290,Community transmission
France,Europe,3671208,5624.35,149959,229.74,23996,85872,131.56,2165,3.32,185,Community transmission
Spain,Europe,3180212,6801.9,22774,48.71,0,68813,147.18,529,1.13,0,Community transmission
Italy,Europe,2907825,4809.36,112029,185.29,18902,97507,161.27,2021,3.34,280,Clusters of cases
Turkey,Europe,2693164,3193.26,61288,72.67,9193,28503,33.8,520,0.62,71,Community transmission
Germany,Europe,2442336,2915.04,55777,66.57,7890,70045,83.6,2204,2.63,157,Community transmission
Colombia,Americas,2244792,4411.68,27791,54.62,3567,59518,116.97,1007,1.98,122,Community transmission
Argentina,Americas,2104197,4655.74,49516,109.56,5469,51946,114.94,946,2.09,59,Community transmission
Mexico,Americas,2076882,1610.83,46391,35.98,7512,184474,143.08,5509,4.27,782,Community transmission
Poland,Europe,1706986,4510.27,68219,180.25,10101,43769,115.65,1598,4.22,113,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1623159,1932.49,57078,67.96,7975,59980,71.41,571,0.68,81,Community transmission
South Africa,Africa,1512225,2549.75,9858,16.62,1447,49941,84.21,1001,1.69,157,Community transmission
